Title,Price,Original_Price,Discount,Author,Genres,Description
Volpone,116.00,145.00,20%,Ben Jonson,Fiction,"Volpone (or The Fox) is a comedy in five acts, performed about 1605–1606 and published in 1607, drawing on elements of city comedy and beast fable....

                View full details"
Twelfth Night,100.00,125.00,20%,William Shakespeare,Fiction,"Twelfth Night is a tale of unrequited love, hilarious and heartbreaking, written around 1601-02 as a Twelfth Night's entertainment for the close of...

                View full details"
The Rudyard Kipling Collection,679.00,849.00,20%,Rudyard Kipling,Fiction,"(1) The Jungle Books: - Kipling's allegory, The Jungle Books, set in India and filled with high adventure and extraordinary characters that touch b...

                View full details"
The Old Man and the Sea,100.00,125.00,20%,Ernest Hemingway,Fiction,"“But man is not made for defeat,” he said. “A man can be destroyed but not defeated.”

This tremendously famous novella, written in 1952, underline...

                View full details"
Pride And Prejudice,236.00,295.00,20%,Jane Austen,Fiction,"In the delightful social comedy of Pride and Prejudice (1813) Jane Austen delicately handles the problem of love and money in marriage where, in sp...

                View full details"
Oliver Twist,260.00,325.00,20%,Charles Dickens,Fiction,"Oliver Twist, Dickens's critique of the harsh Poor Law of 1834, and a grim picture of the sordid reality the London underworld of Dickens's times, ...

                View full details"
Henry Iv Part One,96.00,120.00,20%,William Shakespeare,Fiction,"Henry IV, Part One is a history play, believed to have been written no later than 1597. It is the second play in Shakespeare's tetralogy dealing wi...

                View full details"
Candide,120.00,150.00,20%,Voltaire,Fiction,"Candide, a privileged and sheltered young man, is under the folly of optimism and believes he lives in the ‘best of all possible worlds’ as his men...

                View full details"
The Fur Person,"1,001.00","1,251.00",No Discount,"Sarton, May",Fiction,
The 10 Rules Of Happiness,890.00,"1,112.00",No Discount,"Agarwal, Mridula",Fiction,
Sarvottam Jeevan Ka Nirman Karen,240.00,300.00,20%,"Louise L Hay And, Cheryl Richardson",Fiction,
Magpie Murders,"1,292.00","1,615.00",No Discount,Anthony Horowitz,Fiction,"From the Back CoverFrom the Globe and Mail-bestselling author of Moriarty, this ""spectacularly impressive"" (Washington Post) and riveting thriller ...

                View full details"
Garden Spells,"1,292.00","1,615.00",No Discount,Sarah Addison Allen,Fiction,
The Stepchild (Oip): Angaliyat,No Price,325.00,0%,Joseph Macwan,Fiction,
Wuthering Heights,No Price,325.00,0%,Emily Brontë,Fiction,
The Routledge Anthology of Climate Fiction,"3,205.00","4,006.00",20%,"Gillard, Bill",Fiction,
Selected Stories,No Price,399.00,0%,Katherine Mansfield,Fiction,
Paraja (Oip),No Price,575.00,0%,Mohanty Gopinath,Fiction,
Groundwork for the Metaphysics of Morals,No Price,349.00,No Discount,Immanuel Kant,Fiction,
Aladdin and the Enchanted Lamp,No Price,205.00,0%,Judith Dean,Fiction,
The War of the Worlds,156.00,195.00,20%,H.G. Wells,Fiction,"H.G. Wells' The War of the Worlds is a groundbreaking science fiction novel that depicts humanity's struggle against a devastating alien invasion. ...

                View full details"
War & Peace,636.00,795.00,20%,Leo Tolstoy,Fiction,"Set against the backdrop of Napoleon's conquest and the French invasion of Russia, War and Peace is one of the best-known historical works, written...

                View full details"
The Three Musketeers,316.00,395.00,20%,Alexandre Dumas,Fiction,"In the bustling streets of seventeenth-century Paris, a young and ambitious swordsman from Gascony, D'Artagnan, arrives seeking to join the illustr...

                View full details"
The Odyssey,196.00,245.00,20%,Homer,Fiction,"“But the great leveler, Death: not even the gods can defend a man, not even one they love, that day when fate takes hold and lays him out at last.”...

                View full details"
Siddhartha,120.00,150.00,20%,Hermann Hesse,Fiction,"“We are not going in circles, we are going upwards. The path is a spiral; we have already climbed many steps.”

Siddhartha is a profound exploratio...

                View full details"
Ulysses,396.00,495.00,20%,James Joyce,Fiction,
Treasure Island,156.00,195.00,20%,Robert Louis Stevenson,Fiction,"Treasure Island, a wonderfully crafted edition of Stevenson’s classic adventure story, is known for its great plot, immortal characters and vivid i...

                View full details"
To The Lighthouse,156.00,195.00,20%,Virginia Woolf,Fiction,"Virginia Woolf’s fifth novel, To the Lighthouse, was widely praised and has remained the most popular of all her novels. It is considered among the...

                View full details"
The Way Of The World,140.00,175.00,20%,William Congreve,Fiction,"The Way of the World is based around two lovers Mirabell and Millamant. In order for the two to get married and receive Millamant’s full dowry, Mir...

                View full details"
The Turn of the Screw,140.00,175.00,20%,Henry James,Fiction,"In January 1895, when Henry James was in the depths of depression due to the failure of his play Guy Domville, the Archbishop of Canterbury told hi...

                View full details"
